customer_id,credit_score,country,gender,age,tenure,formatted_balance,formatted_salary,balance,estimated_salary,products_number,credit_card,active_member,churn,Age_Group
15634602,619,France,Female,42,2,$0.00,"$101,348.88",0,101348.88,1,1,1,1,Mid-Career
15647311,608,Spain,Female,41,1,"$83,807.86","$112,542.58",83807.86,112542.58,1,0,1,0,Mid-Career
15619304,502,France,Female,42,8,"$159,660.80","$113,931.57",159660.8,113931.57,3,1,0,1,Mid-Career
15701354,699,France,Female,39,1,$0.00,"$93,826.63",0,93826.63,2,0,0,0,Mid-Career
15737888,850,Spain,Female,43,2,"$125,510.82","$79,084.10",125510.82,79084.1,1,1,1,0,Mid-Career
15574012,645,Spain,Male,44,8,"$113,755.78","$149,756.71",113755.78,149756.71,2,1,0,1,Mid-Career
15592531,822,France,Male,50,7,$0.00,"$10,062.80",0,10062.8,2,1,1,0,Mid-Career
15656148,376,Germany,Female,29,4,"$115,046.74","$119,346.88",115046.74,119346.88,4,1,0,1,Young Adult
15792365,501,France,Male,44,4,"$142,051.07","$74,940.50",142051.07,74940.5,2,0,1,0,Mid-Career
15592389,684,France,Male,27,2,"$134,603.88","$71,725.73",134603.88,71725.73,1,1,1,0,Young Adult
15767821,528,France,Male,31,6,"$102,016.72","$80,181.12",102016.72,80181.12,2,0,0,0,Mid-Career
15737173,497,Spain,Male,24,3,$0.00,"$76,390.01",0,76390.01,2,1,0,0,Young Adult
15632264,476,France,Female,34,10,$0.00,"$26,260.98",0,26260.98,2,1,0,0,Mid-Career
15691483,549,France,Female,25,5,$0.00,"$190,857.79",0,190857.79,2,0,0,0,Young Adult
15600882,635,Spain,Female,35,7,$0.00,"$65,951.65",0,65951.65,2,1,1,0,Mid-Career
15643966,616,Germany,Male,45,3,"$143,129.41","$64,327.26",143129.41,64327.26,2,0,1,0,Mid-Career
15737452,653,Germany,Male,58,1,"$132,602.88","$5,097.67",132602.88,5097.67,1,1,0,1,Senior
15788218,549,Spain,Female,24,9,$0.00,"$14,406.41",0,14406.41,2,1,1,0,Young Adult
15661507,587,Spain,Male,45,6,$0.00,"$158,684.81",0,158684.81,1,0,0,0,Mid-Career
15568982,726,France,Female,24,6,$0.00,"$54,724.03",0,54724.03,2,1,1,0,Young Adult
15577657,732,France,Male,41,8,$0.00,"$170,886.17",0,170886.17,2,1,1,0,Mid-Career
15597945,636,Spain,Female,32,8,$0.00,"$138,555.46",0,138555.46,2,1,0,0,Mid-Career
15699309,510,Spain,Female,38,4,$0.00,"$118,913.53",0,118913.53,1,1,0,1,Mid-Career
15725737,669,France,Male,46,3,$0.00,"$8,487.75",0,8487.75,2,0,1,0,Mid-Career
15625047,846,France,Female,38,5,$0.00,"$187,616.16",0,187616.16,1,1,1,0,Mid-Career
15738191,577,France,Male,25,3,$0.00,"$124,508.29",0,124508.29,2,0,1,0,Young Adult
15736816,756,Germany,Male,36,2,"$136,815.64","$170,041.95",136815.64,170041.95,1,1,1,0,Mid-Career
15700772,571,France,Male,44,9,$0.00,"$38,433.35",0,38433.35,2,0,0,0,Mid-Career
15728693,574,Germany,Female,43,3,"$141,349.43","$100,187.43",141349.43,100187.43,1,1,1,0,Mid-Career
15656300,411,France,Male,29,0,"$59,697.17","$53,483.21",59697.17,53483.21,2,1,1,0,Young Adult
15589475,591,Spain,Female,39,3,$0.00,"$140,469.38",0,140469.38,3,1,0,1,Mid-Career
15706552,533,France,Male,36,7,"$85,311.70","$156,731.91",85311.7,156731.91,1,0,1,0,Mid-Career
15750181,553,Germany,Male,41,9,"$110,112.54","$81,898.81",110112.54,81898.81,2,0,0,0,Mid-Career
15659428,520,Spain,Female,42,6,$0.00,"$34,410.55",0,34410.55,2,1,1,0,Mid-Career
15732963,722,Spain,Female,29,9,$0.00,"$142,033.07",0,142033.07,2,1,1,0,Young Adult
15794171,475,France,Female,45,0,"$134,264.04","$27,822.99",134264.04,27822.99,1,1,0,1,Mid-Career
15788448,490,Spain,Male,31,3,"$145,260.23","$114,066.77",145260.23,114066.77,1,0,1,0,Mid-Career
15729599,804,Spain,Male,33,7,"$76,548.60","$98,453.45",76548.6,98453.45,1,0,1,0,Mid-Career
15717426,850,France,Male,36,7,$0.00,"$40,812.90",0,40812.9,1,1,1,0,Mid-Career
15585768,582,Germany,Male,41,6,"$70,349.48","$178,074.04",70349.48,178074.04,2,0,1,0,Mid-Career
15619360,472,Spain,Male,40,4,$0.00,"$70,154.22",0,70154.22,1,1,0,0,Mid-Career
15738148,465,France,Female,51,8,"$122,522.32","$181,297.65",122522.32,181297.65,1,0,0,1,Senior
15687946,556,France,Female,61,2,"$117,419.35","$94,153.83",117419.35,94153.83,1,1,1,0,Senior
15755196,834,France,Female,49,2,"$131,394.56","$194,365.76",131394.56,194365.76,1,0,0,1,Mid-Career
15684171,660,Spain,Female,61,5,"$155,931.11","$158,338.39",155931.11,158338.39,1,1,1,0,Senior
15754849,776,Germany,Female,32,4,"$109,421.13","$126,517.46",109421.13,126517.46,2,1,1,0,Mid-Career
15602280,829,Germany,Female,27,9,"$112,045.67","$119,708.21",112045.67,119708.21,1,1,1,1,Young Adult
15771573,637,Germany,Female,39,9,"$137,843.80","$117,622.80",137843.8,117622.8,1,1,1,1,Mid-Career
15766205,550,Germany,Male,38,2,"$103,391.38","$90,878.13",103391.38,90878.13,1,0,1,0,Mid-Career
15771873,776,Germany,Female,37,2,"$103,769.22","$194,099.12",103769.22,194099.12,2,1,0,0,Mid-Career
15616550,698,Germany,Male,44,10,"$116,363.37","$198,059.16",116363.37,198059.16,2,1,0,0,Mid-Career
15768193,585,Germany,Male,36,5,"$146,050.97","$86,424.57",146050.97,86424.57,2,0,0,0,Mid-Career
15683553,788,France,Female,33,5,$0.00,"$116,978.19",0,116978.19,2,0,0,0,Mid-Career
15702298,655,Germany,Male,41,8,"$125,561.97","$164,040.94",125561.97,164040.94,1,0,0,1,Mid-Career
